id,name,deadline_time,average_entry_score,highest_score,finished,data_checked,is_previous,is_current,is_next
1,Jornada 1,2025-08-08T19:10:00Z,48,98,True,True,False,False,False
2,Jornada 2,2025-08-15T14:25:00Z,66,117,True,True,False,False,False
3,Jornada 3,2025-08-23T14:55:00Z,59,121,True,True,False,False,False
4,Jornada 4,2025-08-29T19:10:00Z,43,117,True,True,False,False,False
5,Jornada 5,2025-09-12T19:10:00Z,46,102,True,False,False,False,False
6,Jornada 6,2025-09-19T19:10:00Z,67,164,True,True,False,False,False
7,Jornada 7,2025-09-26T19:10:00Z,49,103,True,True,False,False,False
8,Jornada 8,2025-10-03T19:10:00Z,46,109,True,True,False,False,False
9,Jornada 9,2025-10-24T19:10:00Z,68,150,True,True,False,False,False
10,Jornada 10,2025-10-31T20:10:00Z,49,132,True,True,False,False,False
11,Jornada 11,2025-11-07T20:10:00Z,45,109,True,True,False,False,False
12,Jornada 12,2025-11-28T20:10:00Z,51,113,True,True,False,False,False
13,Jornada 13,2025-12-05T20:10:00Z,41,111,True,True,False,False,False
14,Jornada 14,2025-12-13T15:25:00Z,65,144,True,True,False,False,False
15,Jornada 15,2025-12-19T20:10:00Z,49,100,True,True,False,False,False
16,Jornada 16,2025-12-27T17:55:00Z,58,156,True,True,False,False,False
17,Jornada 17,2026-01-02T18:40:00Z,51,125,True,True,False,False,False
18,Jornada 18,2026-01-11T15:25:00Z,58,147,True,True,False,False,False
19,Jornada 19,2026-01-23T20:10:00Z,58,144,True,True,False,False,False
20,Jornada 20,2026-01-30T20:40:00Z,38,123,True,True,False,False,False
21,Jornada 21,2026-02-07T15:25:00Z,37,96,True,True,False,False,False
22,Jornada 22,2026-02-13T18:25:00Z,43,110,True,True,False,False,False
23,Jornada 23,2026-02-20T20:40:00Z,56,128,True,True,False,False,False
24,Jornada 24,2026-02-27T18:40:00Z,49,111,True,True,False,False,False
25,Jornada 25,2026-03-06T20:10:00Z,43,102,True,True,False,False,False
26,Jornada 26,2026-03-14T15:25:00Z,30,95,True,True,False,False,False
27,Jornada 27,2026-03-20T20:10:00Z,42,108,True,True,False,False,False
28,Jornada 28,2026-04-03T14:25:00Z,35,111,True,True,False,False,False
29,Jornada 29,2026-04-10T19:40:00Z,43,86,True,True,False,False,False
30,Jornada 30,2026-04-17T19:40:00Z,41,118,True,True,False,False,False
31,Jornada 31,2026-04-24T19:10:00Z,45,110,True,True,False,False,False
32,Jornada 32,2026-05-02T14:25:00Z,48,130,True,True,False,False,False
33,Jornada 33,2026-05-10T16:55:00Z,34,96,True,True,True,False,False
34,Jornada 34,2026-05-16T14:25:00Z,51,117,True,True,False,True,False
