type,gw,position,player_id,opta_id,name,player_position,points,is_top_player
gw,1,1,356,470551,Lukás Hornícek,GK,7,False
gw,1,2,248,493741,Rodrigo Pinheiro Ferreira,DEF,14,False
gw,1,3,388,497807,Leonardo Filipe Cruz Lelo,DEF,13,False
gw,1,4,247,165800,Luís Rafael Soares Alves,DEF,10,False
gw,1,5,499,586843,Alberto Oliveira Baio,DEF,10,False
gw,1,6,11,474841,Alfonso Trezza,MID,15,True
gw,1,7,414,222564,Francisco António Machado Mota de Castro Trincão,MID,14,False
gw,1,8,381,244663,Vitor Carvalho Vieira,MID,10,False
gw,1,9,482,424821,Eduardo Gabriel Aquino Cossa,MID,10,False
gw,1,10,21,466464,Naïs Djouahra,MID,9,False
gw,1,11,494,624878,Samu Aghehowa,FWD,10,False
gw,10,1,267,463894,Andrew da Silva Ventura,GK,8,False
gw,10,2,198,563789,Sidny Lopes Cabral,DEF,20,True
gw,10,3,57,465192,Tomás Lemos Araújo,DEF,13,False
gw,10,4,51,550342,Samuel Dahl,DEF,13,False
gw,10,5,153,625764,Pedro Maria Salgueiro Costa Pessoa Carvalho,DEF,9,False
gw,10,6,273,510501,José Carlos Teixeira Lopes dos Reis Gonçalves,DEF,9,False
gw,10,7,154,448403,Yanis Begraoui,MID,19,False
gw,10,8,428,433145,Pedro António Pereira Gonçalves,MID,13,False
gw,10,9,156,233010,Jordan Holsgrove,MID,10,False
gw,10,10,311,185590,Guilherme Schettine Guimarães,FWD,11,False
gw,10,11,190,247074,João Diogo Alves Rodrigues,FWD,9,False
gw,11,1,267,463894,Andrew da Silva Ventura,GK,10,False
gw,11,2,479,428400,Francisco Sampaio de Moura,DEF,11,False
gw,11,3,198,563789,Sidny Lopes Cabral,DEF,9,False
gw,11,4,441,564158,Óscar Rivas,DEF,8,False
gw,11,5,300,209619,Jóbson de Brito Gonzaga,DEF,8,False
gw,11,6,156,233010,Jordan Holsgrove,MID,16,True
gw,11,7,21,466464,Naïs Djouahra,MID,12,False
gw,11,8,159,171351,João António Antunes Carvalho,MID,11,False
gw,11,9,468,637125,Oumar Camara,MID,9,False
gw,11,10,502,590186,Victor Mow Froholdt,MID,9,False
gw,11,11,70,212690,Vangelis Pavlidis,FWD,9,False
gw,12,1,320,218473,Gabriel Batista de Souza,GK,8,False
gw,12,2,405,465190,Eduardo Filipe Quaresma Vieira Coimbra Simões,DEF,13,True
gw,12,3,387,531827,Gustaf Lagerbielke,DEF,13,False
gw,12,4,441,564158,Óscar Rivas,DEF,12,False
gw,12,5,463,231471,Rodrigo Abascal Barros,DEF,11,False
gw,12,6,468,637125,Oumar Camara,MID,11,False
gw,12,7,610,200931,Lincoln Henrique Oliveira dos Santos,MID,11,False
gw,12,8,448,482307,Benedito Mambuene Mukendi,MID,10,False
gw,12,9,414,222564,Francisco António Machado Mota de Castro Trincão,MID,10,False
gw,12,10,554,482987,Pedro Henryque Pereira dos Santos,MID,9,False
gw,12,11,437,432838,Luis Javier Suárez Charris,FWD,11,False
gw,13,1,529,490994,André Nogueira Gomes,GK,7,False
gw,13,2,325,125466,Frederico André Ferrão Venâncio,DEF,14,True
gw,13,3,608,465495,Ricard Sánchez,DEF,9,False
gw,13,4,640,440854,Jakub Kiwior,DEF,9,False
gw,13,5,531,563661,Kaiky Marques Naves,DEF,8,False
gw,13,6,221,546662,André Luiz Inácio da Silva,MID,10,False
gw,13,7,584,439789,Ianis Stoica,MID,9,False
gw,13,8,204,516038,Abraham Ayomide Marcus,MID,9,False
gw,13,9,581,501280,Patrick de Paula Carreiro,MID,8,False
gw,13,10,613,570891,Óscar Perea,MID,8,False
gw,13,11,229,500904,Clayton Fernandes Silva,FWD,10,False
gw,14,1,127,563659,Kaique Pereira Azarias,GK,14,False
gw,14,2,573,492198,Georgios Vagiannidis,DEF,14,False
gw,14,3,416,473215,Maximiliano Araújo,DEF,13,False
gw,14,4,479,428400,Francisco Sampaio de Moura,DEF,10,False
gw,14,5,63,134103,Fredrik Aursnes,MID,16,True
gw,14,6,257,590006,Gustavo Filipe Alves de Freitas Azevedo e Sá,MID,15,False
gw,14,7,421,494424,Geny Cipriano Catamo,MID,14,False
gw,14,8,468,637125,Oumar Camara,MID,10,False
gw,14,9,260,652987,Yassir Zabiri,FWD,15,False
gw,14,10,70,212690,Vangelis Pavlidis,FWD,15,False
gw,14,11,437,432838,Luis Javier Suárez Charris,FWD,12,False
gw,15,1,193,69737,Renan Ribeiro,GK,9,False
gw,15,2,92,242260,Gaizka Larrazabal,DEF,13,False
gw,15,3,152,229666,Pedro Miguel Gaspar Amaral,DEF,10,False
gw,15,4,52,57410,Nicolás Otamendi,DEF,10,False
gw,15,5,122,535544,José Vítor Lima Cardoso,DEF,8,False
gw,15,6,416,473215,Maximiliano Araújo,DEF,8,False
gw,15,7,505,490799,Borja Sainz Eguskiza,MID,14,True
gw,15,8,221,546662,André Luiz Inácio da Silva,MID,10,False
gw,15,9,486,514587,Alan Varela,MID,8,False
gw,15,10,453,509046,Telmo Emanuel Gomes Arcanjo,MID,8,False
gw,15,11,655,437955,Fotis Ioannidis,FWD,8,False
gw,16,1,459,479839,Juan Diego Castillo Reyes,GK,7,False
gw,16,2,416,473215,Maximiliano Araújo,DEF,14,False
gw,16,3,615,195777,Abdu Cadri Conté,DEF,8,False
gw,16,4,52,57410,Nicolás Otamendi,DEF,8,False
gw,16,5,154,448403,Yanis Begraoui,MID,14,False
gw,16,6,185,437913,Jovane Eduardo Borges Cabral,MID,13,False
gw,16,7,526,610163,Alexsandro Amorim de Freitas Filho,MID,10,False
gw,16,8,11,474841,Alfonso Trezza,MID,10,False
gw,16,9,253,532393,Marcos Vinicios Lopes Moura,MID,10,False
gw,16,10,437,432838,Luis Javier Suárez Charris,FWD,19,True
gw,16,11,494,624878,Samu Aghehowa,FWD,12,False
gw,17,1,240,233774,Lazar Carevic,GK,8,False
gw,17,2,433,551195,Diogo Martins Travassos,DEF,15,True
gw,17,3,544,535576,Emmanuel Maviram,DEF,14,False
gw,17,4,463,231471,Rodrigo Abascal Barros,DEF,9,False
gw,17,5,531,563661,Kaiky Marques Naves,DEF,8,False
gw,17,6,480,551367,Martim Moreira Moutinho Fernandes,DEF,8,False
gw,17,7,473,710101,Noah Jose Saviolo,MID,13,False
gw,17,8,221,546662,André Luiz Inácio da Silva,MID,12,False
gw,17,9,223,461682,Brandon Aguilera,MID,8,False
gw,17,10,70,212690,Vangelis Pavlidis,FWD,15,False
gw,17,11,229,500904,Clayton Fernandes Silva,FWD,9,False
gw,18,1,356,470551,Lukás Hornícek,GK,11,False
gw,18,2,300,209619,Jóbson de Brito Gonzaga,DEF,15,False
gw,18,3,347,534335,Paulo Victor de Almeida Barbosa,DEF,13,False
gw,18,4,122,535544,José Vítor Lima Cardoso,DEF,12,False
gw,18,5,152,229666,Pedro Miguel Gaspar Amaral,DEF,10,False
gw,18,6,154,448403,Yanis Begraoui,MID,18,True
gw,18,7,159,171351,João António Antunes Carvalho,MID,16,False
gw,18,8,421,494424,Geny Cipriano Catamo,MID,14,False
gw,18,9,337,495546,Vinícius Lopes da Silva,MID,11,False
gw,18,10,315,551121,Rodrigo Alonso Martin,MID,10,False
