id,name,deadline_time,average_entry_score,highest_score,finished,data_checked,is_previous,is_current,is_next
1,Jornada 1,2026-08-07T19:10:00Z,46,91,True,True,True,False,False
2,Jornada 2,2026-08-14T19:10:00Z,61,129,True,True,False,True,False
3,Jornada 3,2026-08-22T14:25:00Z,0,,False,False,False,False,True
4,Jornada 4,2026-08-28T19:10:00Z,0,,False,False,False,False,False
5,Jornada 5,2026-09-06T16:55:00Z,0,,False,False,False,False,False
6,Jornada 6,2026-09-13T16:55:00Z,0,,False,False,False,False,False
7,Jornada 7,2026-09-20T16:55:00Z,0,,False,False,False,False,False
8,Jornada 8,2026-10-11T16:55:00Z,0,,False,False,False,False,False
9,Jornada 9,2026-10-25T17:55:00Z,0,,False,False,False,False,False
10,Jornada 10,2026-11-01T17:55:00Z,0,,False,False,False,False,False
11,Jornada 11,2026-11-08T17:55:00Z,0,,False,False,False,False,False
12,Jornada 12,2026-11-29T17:55:00Z,0,,False,False,False,False,False
13,Jornada 13,2026-12-06T17:55:00Z,0,,False,False,False,False,False
14,Jornada 14,2026-12-13T17:55:00Z,0,,False,False,False,False,False
15,Jornada 15,2026-12-20T17:55:00Z,0,,False,False,False,False,False
16,Jornada 16,2026-12-27T17:55:00Z,0,,False,False,False,False,False
17,Jornada 17,2027-01-10T17:55:00Z,0,,False,False,False,False,False
18,Jornada 18,2027-01-17T17:55:00Z,0,,False,False,False,False,False
19,Jornada 19,2027-01-24T17:55:00Z,0,,False,False,False,False,False
20,Jornada 20,2027-01-31T17:55:00Z,0,,False,False,False,False,False
21,Jornada 21,2027-02-07T17:55:00Z,0,,False,False,False,False,False
22,Jornada 22,2027-02-14T17:55:00Z,0,,False,False,False,False,False
23,Jornada 23,2027-02-21T17:55:00Z,0,,False,False,False,False,False
24,Jornada 24,2027-02-28T17:55:00Z,0,,False,False,False,False,False
25,Jornada 25,2027-03-07T17:55:00Z,0,,False,False,False,False,False
26,Jornada 26,2027-03-14T17:55:00Z,0,,False,False,False,False,False
27,Jornada 27,2027-03-21T17:55:00Z,0,,False,False,False,False,False
28,Jornada 28,2027-04-04T16:55:00Z,0,,False,False,False,False,False
29,Jornada 29,2027-04-11T16:55:00Z,0,,False,False,False,False,False
30,Jornada 30,2027-04-18T16:55:00Z,0,,False,False,False,False,False
31,Jornada 31,2027-04-25T16:55:00Z,0,,False,False,False,False,False
32,Jornada 32,2027-05-02T16:55:00Z,0,,False,False,False,False,False
33,Jornada 33,2027-05-09T16:55:00Z,0,,False,False,False,False,False
34,Jornada 34,2027-05-16T16:55:00Z,0,,False,False,False,False,False
