team_id,team_opta_id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,5674,FC Arouca,FCA,,,,,,,
2,251,SL Benfica,SLB,,,,,,,
3,5191,Casa Pia AC,CPAC,,,,,,,
4,2003,CD Nacional,CDN,,,,,,,
5,2273,Estoril Praia,EPF,,,,,,,
6,17370,Estrela Amadora,CFEA,,,,,,,
7,6644,FC Famalicão,FCF,,,,,,,
8,666,Gil Vicente FC,GVFC,,,,,,,
9,3536,Moreirense FC,MFC,,,,,,,
10,2847,Rio Ave FC,RAFC,,,,,,,
11,3084,Santa Clara,CDSC,,,,,,,
12,372,SC Braga,SCB,,,,,,,
13,255,Sporting CP,SCP,,,,,,,
14,371,Vitória SC,VSC,,,,,,,
15,201,FC Porto,FCP,,,,,,,
16,3531,FC Alverca,ALV,,,,,,,
17,740,Marítimo M.,CSM,,,,,,,
18,3530,Académico,AVFC,,,,,,,
