gw,player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,attacking_bonus,defending_bonus,winning_goals,key_passes,clearances_blocks_interceptions,total_points,played,in_dreamteam
2,310,90,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,True,False
2,311,90,0,0,0,4,1,0,0,1,0,0,0,0,0,0,6,-3,True,False
2,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,313,45,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,1,True,False
2,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,315,90,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,1,True,False
2,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,317,90,0,0,0,4,0,0,0,1,0,0,0,0,0,1,4,-1,True,False
2,318,71,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,2,True,False
2,319,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,True,False
2,320,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,322,62,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,True,False
2,323,90,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,1,True,False
2,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,327,90,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,True,False
2,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,330,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,True,False
2,331,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,335,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,True,False
2,336,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,True,False
2,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,338,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,True,False
2,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,342,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,True,False
2,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,346,82,0,0,0,2,0,0,0,0,0,0,0,0,0,1,6,2,True,False
2,347,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,348,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,7,2,True,False
2,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,351,90,0,0,0,2,0,0,0,0,0,0,2,0,0,4,1,4,True,False
2,352,74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,True,False
2,353,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,1,True,False
2,354,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,2,True,False
2,355,90,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,3,True,False
2,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,357,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False
2,358,82,0,0,0,2,0,0,0,0,0,0,1,0,0,3,1,3,True,False
2,359,58,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,True,False
2,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,361,90,0,0,0,1,0,0,0,1,0,0,0,0,0,1,5,1,True,False
2,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,363,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,True,False
2,364,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,2,True,False
2,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,366,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2,True,False
2,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,369,17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,True,False
2,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,371,79,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,True,False
